어휘,품사,뜻풀이
영문 초록,품사 없음,책이나 논문 따위에서 영문으로 쓴 초록.
영문출입증,품사 없음,일반인에게 병영(兵營)을 출입할 수 있도록 허가하는 증명서.
영문판,명사,영문 활자로 짜서 만든 인쇄판. 또는 그것으로 찍어 만든 출판물.
영문하,명사,고려 시대에 둔 도첨의부의 으뜸 벼슬. 공민왕 때에 영도첨의를 고친 것으로 우왕 때에 판문하로 고쳤다.
영문하다,동사,새로 과거에 급제한 사람을 찾아보고 축하하다.
영문하부사,명사,조선 전기에 둔 문하부의 으뜸 벼슬. 품계는 정일품이었다.
영문학,명사,영국의 문학.
영문학계,명사,영문학과 관련된 연구 및 저술에 종사하는 학자들의 활동 분야.
영문학과,명사,‘영어 영문학과’를 줄여 이르는 말.
영문학도,명사,영문학을 전공으로 삼아 공부하는 사람.
영문학사,명사,영문학의 역사.
영문학자,명사,영국의 문학을 전문적으로 연구하는 사람.
영물,명사,똑똑하고 능력이 뛰어난 인물.
영물가,명사,새l 짐승l 초목 따위의 자연이 지닌 특성을 칭송한 시나 시조. 사군자를 소재로 한 것이 많다.
영물스럽다,형용사,영물이라고 할 정도로 매우 영리한 데가 있다.
영물스레,부사,영물이라고 할 정도로 매우 영리한 데가 있게.
영물시,명사,자연과 현실 속에서 구체적인 사물을 대상으로 하여 정확하고 세밀하게 묘사한 시 가운데 하나. 주로 한시가 많으며l 영물시에 관한 대표적인 작가로는 이색l 이규보l 이학규 등이 있다.
영물하다,동사,새l 꽃l 달l 나무 따위를 제재로 하여 시를 짓다.
영미,명사,남의 비위를 맞추며 아첨함. 또는 그런 사람.
영미권,명사,영국과 미국의 영향력이 미치는 범위 안에 있는 지역. 영국과 미국을 중심으로 오스트레일리아l 캐나다 따위를 아우르는 지역이다.
영미롭다,형용사,‘영리하다’의 방언
영미법,명사,영국 법률 및 그것을 계승한 미국 법률을 아울러 이르는 말. 판례법과 관습법을 주로 하며 불문법(不文法)이 중심이 된다.
영미시,명사,영국과 미국 등지에서 영어로 쓴 시.
영미식,명사,영국과 미국에서 하는 방식이나 형식.
영미식결산법,품사 없음,분개(分介) 없이 원장(元帳)을 마감하고 그 잔액을 한곳에 모아 손익 계산서와 대차 대조표를 마련하는 결산법.
영미전쟁,품사 없음,1812년 6월에 영국과 미국 사이에서 일어난 전쟁. 나폴레옹 전쟁 때에 중립을 선언한 미국이 영국의 프랑스에 대한 봉쇄로 미국의 해운이 위협을 받자 영국에 선전 포고를 하였는데l 1814년 12월에 강화가 이루어져 종결되었다.
영미차관협정,품사 없음,1945년 12월에 워싱턴에서 체결된 영국과 미국 사이의 경제 협정. 영국이 미국으로부터 50년 분할 상환l 연 금리 2%의 조건으로 차관 37억 5천만 달러를 제공받기로 하였다.
영미하다,동사,남의 비위를 맞추며 아첨하다.
영민,품사 없음,‘영민하다’의 어근.
영민하다,형용사,매우 영특하고 민첩하다.
영민히,부사,매우 영특하고 민첩하게.
영밀,품사 없음,‘영밀하다’의 어근.
영밀하다,형용사,편안하고 조용하다.
영바람,명사,뽐낼 정도로 등등한 기세.
영박물관,품사 없음,영국 런던 블룸즈버리(Bloomsbury)에 있는 국립 박물관. 1759년에 <FL>슬론</FL> 경(Sloanel Sir H.)의 소장품을 중심으로 개관하여 현재 이집트l 서아시아l 그리스l 로마 등지의 고고학 자료ㆍ고문서ㆍ미술품 따위를 소장하고 있으며l 1973년에 대영 도서관을 분리하였다.
영반,명사,부처나 죽은 사람의 영혼을 위하여 바치는 잿밥.
영받,명사,‘염전’의 방언
영발,품사 없음,‘영발하다’의 어근.
영발하다,형용사,재기(才氣)가 두드러지게 드러나다.
영방,명사,향기롭고 아름다운 꽃.
영방고권,품사 없음,중세 독일에서 난립한 영방과 제국 도시의 분쟁을 조정하기 위해 만들어진 란트 평화령을 어긴 영방에 대하여 엄격하게 적용하던 재판권을 이르는 말.
영방국가,품사 없음,13세기에 독일 황제권이 약화되자 봉건 제후들이 세운 지방 국가. 1871년에 독일 통일 제국이 출현할 때까지 존속하였다.
영방주,명사,돌기둥 위에 나열하여 세운 굵고 높은 모난 기둥.
영방향,품사 없음,방향 관측법에서 제1 목표로 잡은 방향. 방향 관측법으로 관측한 목표 방향의 방위각을 구할 때l 이 방향의 시준(視準)과 관측이 결과에 영향을 미친다.
영배,명사,등마루 산맥의 뒤라는 뜻으로l 강원도와 함경도를 아울러 이르던 말.
영백,명사,조선 시대에l 경상도 관찰사를 이르던 말.
영번갈림증,품사 없음,<FL>테시어</FL>(Tessierl P.)가 분류한 머리 얼굴 갈림증. 앞 신경 구멍이 폐쇄되지 않았거나 폐쇄가 지연되어서 생긴다. 갈라진 틈이 앞숫구멍으로부터 이마뼈l 계관l 코 정중선l 코기둥l 위턱뼈l 입술을 침범한다. 실제로는 혀l 아랫입술l 아래턱뼈도 침범할 수 있다. 이 갈라진 틈은 이마l 이마 코 부위 또는 이마 벌집뼈 부위에 뇌탈출증l 안와 먼거리증l 이중 코중격l 정중 입술갈림증을 일으킬 수 있다.
영벌,명사,지옥에서 받는 영원한 벌.
영범,명사,범인이 또 다른 죄를 범함.
영범장,명사,숙종 39년(1713)에 김진규(金鎭圭)가 지은 경녕전(敬寧殿) 악장.
영범하다,동사,범인이 또 다른 죄를 범하다.
영법,명사,헤엄치는 방법.
영법심판,품사 없음,수영 경기에서l 선수들이 영법에 맞게 정학한 동작을 하고 있는지를 확인하는 심판. 네 명의 심판으로 구성된다.
영법칙,품사 없음,덧셈에서 숫자에 0을 더하면 그 숫자가 되고l 곱셈에서 숫자에 0을 곱하면 0이 된다는 법칙.
영베,명사,‘이엉’의 방언
영벡터,품사 없음,성분이 모두 0인 벡터. 어떤 벡터 <I>a</I>에 대해서도 <I>a＋x=a</I>를 만족시킬 수 있는 벡터 <I>x</I>를 이른다.
영변,명사,말솜씨 좋게 아첨함. 또는 그런 말.
영변가,명사,평안도 영변 지방의 대표적인 민요. 구가와 신가가 있는데l 조선 후기에 평안도의 행정부를 의주로 옮기는 것을 섭섭히 여긴 주민들이 지어 불렀다 한다.
영변군,명사,평안북도 남부에 있는 군. 환웅이 세운 신시(神市)가 있었고 고조선 단군 때의 왕검성이 있었다 한다. 축산물ㆍ광산물ㆍ임산물 따위가 나며l 명승지로 동룡굴ㆍ묘향산ㆍ철옹성 따위가 있다. 군청 소재지는 영변l 면적은 1l709.1㎢.
영변조매체잡음,품사 없음,영 변조 상태에 있는 매체를 주사할 때l 주사 장치 또는 재생 장치에서 발생하는 잡음.
영변하다,동사,말솜씨 좋게 아첨하다.
영변화,품사 없음,어떤 단어가 형태상의 변화 없이 품사를 달리하여 쓰이는 파생 현상. ‘품’과 ‘품다’l ‘신’과 ‘신다’ 따위의 관계를 말한다.
영별,명사,보통과 달리 특별함.
영별(을) 짓다,품사 없음,죽어서 영원히 이별하다.
영별하다,형용사,보통과 달리 특별하다.
영별히,부사,보통과 달리 특별하게.
영병,명사,쓰러질 듯이 비틀거리며 걸음.
영병철기,명사,강한 병사와 철갑을 입은 군사란 뜻으로l 막강한 군사를 이르는 말.
영병하다,동사,쓰러질 듯이 비틀거리며 걷다.
영보,명사,임금을 보좌하던 뛰어난 대신.
영 보이,품사 없음,젊은 남자. ⇒규범 표기는 미확정이다.
영보재,명사,중국 청나라 때 베이징(北京)에 만들어졌던 서화 전문 출판 기구. 역대의 유명한 목판이나 글씨l 그림 따위를 인쇄하였다.
영복,명사,천국에서 누리는 영원한 복락.
영복경,명사,‘대영광송’의 전 용어.
영복귀,품사 없음,신호의 전 주기 내에 패턴이 데이터 1과 0에 따라 신호의 전 주기 동안 생성되는 파형.
영복귀방법,품사 없음,계수형 자기 기록 방식의 한 종류. 원래는 자기화 양극성의 포홧값을 각각 이진값인 1 및 0에 대응시켜 무신호 상태에서는 자기화의 중성값을 지니는 방식을 가리켰으나l 근래에 와서는 주로 바이어스 복귀 방식을 가리킨다.
영복도감,명사,고려 충목왕 때에l 금강산 유점사(楡岾寺)에 물품을 대 주기 위하여 설치한 관아.
영복리,명사,전라남도 강진군 칠량면에 있는 이. 칠량면의 서부에 위치해 있다. 동쪽에 귀암봉이 솟아 있으며l 저수지인 만복제가 있다. 23번 국도가 지난다. 면적은 2.766㎢.
영복하다,동사,짐바리를 넘겨받다.
영본,명사,한 질을 이루는 여러 권의 책 중에서 빠진 권이 있음. 또는 그런 책.
영본국,명사,유럽 서부 대서양 가운데 있는 입헌 군주국. 그레이트브리튼섬과 북아일랜드 및 부근 900여 개의 섬으로 이루어진 국가로l 석탄과 철광을 이용한 중공업 및 원료 수입에 의한 각종 공업이 발달하였다. 주민은 대부분이 앵글로ㆍ색슨으로 신교를 신봉하고 주요 언어는 영어이다. 수도는 런던l 면적은 24만 4820㎢.
영본위예산,품사 없음,매년 증액하거나 새로 추가하는 사업뿐 아니라 모든 정부 사업의 예산이 근본부터 경제성 검토의 대상이 되도록 하는 예산 책정 방법.
영봉,명사,경기 따위에서l 상대편에게 한 점도 주지 아니하고 이김.
영봉산,명사,경상남도 진주시 이반성면에 있는 산. 서쪽 자락에 진주 용암사지 승탑이 있다. 높이는 397미터.
영봉승,품사 없음,야구에서l 상대 팀에 한 점도 내주지 않고 이김.
영봉패,품사 없음,야구에서 상대 팀에 한 점도 얻지 못하고 짐.
영봉하다,동사,경기 따위에서l 상대편에게 한 점도 주지 아니하고 이기다.
영부,명사,벼슬자리 따위를 영구히 맡김.
영부배,명사,잔 밑에 흙으로 만든 방울알을 넣어 흔들면 소리가 나도록 한 토기. 가야 토기에서 볼 수 있다.
영부분공간,품사 없음,벡터 공간 브이(V)의 원소 0벡터로만 이루어진 집합.
영부사,명사,조선 시대에 둔 중추부의 으뜸 벼슬. 정일품의 무관 벼슬이다.
영부사과,명사,조선 시대에l 용양위의 사과 벼슬에 장기간 임명함. 또는 그 사과 벼슬.
영부심,명사,천도교에서l 도를 닦아서 다시 얻은 천심(天心).
영부인,명사,남의 아내를 높여 이르는 말.
영부하다,동사,벼슬자리 따위를 영구히 맡기다.
영부호화통신규약선택사항,품사 없음,연결 설정 동안 교섭된 세션 통신 규약 선택 사항. 0인 세션 통신 규약 통제 정보를 가지고 세션 연결의 순차적 해제에 신호를 보내지 않는 데이터 전송 단계를 허용한다.
영북면,명사,경기도 포천시에 있는 면. 포천시의 북부에 위치해 있다. 대부분 산지이며l 북부 일원은 평지로 이루어져 있다. 마을 남동쪽으로 관음산l 사향산l 북동쪽으로 명성산에 걸쳐 있으며l 은장산l 불무산l 망봉산 등이 솟아 있다. 마을 북서쪽 경계를 따라 한탄강이 흐르며l 명성산에서 발원한 부소천이 마을 중앙을 흘러 한탄강에 합류한다. 특산물은 사과이다. 43번 국도ㆍ78번 지방도ㆍ387번 지방도 등이 지나며l 운천 버스 터미널이 들어서 있다. 천연기념물로 포천 한탄강 현무암 협곡과 비둘기낭 폭포(抱川漢灘江玄武巖峽谷과비둘기낭瀑布)가 있으며l 관광지로 포천 화적연(抱川禾積淵)l 산정 호수 등이 있다. 2020년 경기도 포천시청 누리집을 기준으로 면적은 81.67㎢.
영분,명사,과거에 급제하거나 새로 벼슬한 사람이 그 향리의 조상 묘를 찾아가 풍악을 연주하며 그 영예를 받들어 고하던 일.
영분포,명사,가설 검정에서 귀무가설이 참일 때를 나타내는 검정 통계량의 확률 분포.
영분하다,동사,과거에 급제하거나 새로 벼슬한 사람이 그 향리의 조상 묘를 찾아가 풍악을 연주하며 그 영예를 받들어 고하다.
영불,명사,영국과 프랑스를 아울러 이르는 말.
영불서용,명사,죄를 지어서 파면된 벼슬아치를 영구히 재임용하지 아니하던 일.
영불식민지전쟁,품사 없음,17세기 후반부터 18세기 중반에 걸쳐 영국과 프랑스 사이에 일어난 전쟁을 통틀어 이르는 말. 북아메리카ㆍ인도ㆍ서인도 제도ㆍ아프리카 따위의 식민지를 둘러싸고 일어난 유럽의 에스파냐 계승 전쟁l 오스트리아 계승 전쟁 따위를 이르는데l 특히 칠년 전쟁에서 영국이 승리하여 우위를 확보하였다.
영불출세,명사,집 안에 틀어박히어 영영 세상에 나오지 아니함.
영불출세하다,동사,집 안에 틀어박히어 영영 세상에 나오지 아니하다.
영불해저터널,품사 없음,영국의 도버와 프랑스의 칼레 사이의 길이 50.5km의 철도용 해저 터널. 1987년에 착공하여 1994년에 완공되었다.
영불해협,품사 없음,영국의 동남부와 프랑스의 동북부 사이에 있는 해협. 영국과 유럽 대륙을 연결하는 최단 거리의 수로(水路)로 영국의 도버시와 프랑스의 칼레시 사이를 연결하며l 해협의 너비는 30~40km이고l 깊이는 35~55미터에 달한다.
영불해협터널,품사 없음,영국의 도버와 프랑스의 칼레 사이의 길이 50.5km의 철도용 해저 터널. 1987년에 착공하여 1994년에 완공되었다.
영불해협횡단레이스,품사 없음,도버 해협을 횡단하는 장거리 수영 경기. 매년 개최되며l 영국의 도버와 프랑스의 <FL>그리네곶</FL> 사이를 헤엄을 쳐서 횡단한다. 거리는 조류의 영향으로 일정하지 않지만 약 32km이다.
영불협상,품사 없음,1904년에 영국과 프랑스가 맺은 협정. 독일의 세계 정책에 대항하여 영불의 식민지 문제에 대한 이해의 대립을 조정하기 위한 것으로l 뒤에 영러 협상과 함께 삼국 협상으로 발전하였다.
영불화친협정,품사 없음,1904년에 영국과 프랑스가 맺은 협정. 독일의 세계 정책에 대항하여 영불의 식민지 문제에 대한 이해의 대립을 조정하기 위한 것으로l 뒤에 영러 협상과 함께 삼국 협상으로 발전하였다.
영비,명사,각 군영이나 영(營) 이름이 붙은 관아에 속하여 심부름하던 계집종.
영비트,품사 없음,주파수가 약간 다른 두 개의 파를 중첩했을 때 맥놀이가 발생하는데l 주파수를 완전히 일치시키면 맥놀이가 사라지는 상태.
영빈,명사,귀한 손님을 맞이함.
영빈관,명사,귀한 손님을 맞이하기 위하여 따로 잘 지은 큰 집.
영빈묘,명사,경기도 남양주시 진접읍에 있는 조선 제19대 숙종의 후궁인 영빈 김씨의 무덤. 조선 현종 10년(1669)에 태어나 영조 11년(1735)에 67세로 죽었다. 무덤 주위에 여러 석물이 있으며l 봉분 앞 비석의 내용을 통하여 영빈 김씨의 자취를 살필 수 있다. 사적 정식 명칭은 ‘남양주 영빈묘’이다.
영빈하다,동사,귀한 손님을 맞이하다.
영빙,명사,방랑하는 모양.
영빙하다,동사,손님을 맞아들이어 모시다.
영사,명사,착하고 훌륭한 선비.
영사각도,품사 없음,영사기에서 투사되는 광선의 중심축과 영사실 바닥이나 기타의 수평면이 이루는 각도. 이 각도에 따라 화면의 영상이 객석에 영향을 준다.
영사거리,품사 없음,영사기와 화면 사이의 거리. 일반적으로 화면의 크기나 관객의 심리 상태에 영향을 주기 때문에 과학적인 산출이 필요하다.
영사고지,품사 없음,물품을 배에 싣기 전에 승인을 얻어 수입지의 영사에게 고지서를 보내는 일.
영사공간,품사 없음,영화관에서l 영화가 상영되는 동안 관객들이 앉아 있는 공간을 통틀어 이르는 말.
영사공신,명사,조선 인조 6년(1628)에 유효립(柳孝立)의 역모(逆謀)를 고한 이에게 내린 훈명(勳名). 허적(許<span class=korean-webfont>&#x256DA;</span>)을 비롯한 11명에게 내렸다.
영사과,명사,외국에 있으면서 본국의 무역 통상의 이익을 도모하며 아울러 자국민의 보호를 담당하는 업무를 맡아보는 과.
영사관,명사,외국에 있으면서 본국의 무역 통상의 이익을 도모하며 아울러 자국민의 보호를 담당하는 공무원. 본국에서 파견되는 영사와 그 나라의 거주자 가운데 무보수로 선임하는 명예 영사의 두 가지가 있다.
영사관계에관한비엔나협약,품사 없음,영사의 주재국에서 영사의 지위와 활동의 보장을 명확히 하는 조약. 영사관의 설치l 영사의 임명l 영사의 특권l 직무 범위 따위를 규정한다.
영사관계에관한빈협약,품사 없음,영사의 주재국에서 영사의 지위와 활동의 보장을 명확히 하는 조약. 영사관의 설치l 영사의 임명l 영사의 특권l 직무 범위 따위를 규정한다.
영사관장대리,품사 없음,영사가 직무를 수행할 수 없을 때에 일시적으로 그 직무를 대신 처리하는 외교관.
영사구역,품사 없음,다른 나라의 영토 안에서 영사의 법적 권한이 행사되는 일정한 구역.
영사기,명사,필름에 촬영된 상을 광원과 렌즈 장치를 이용하여 영사막에 확대하여 비추는 기계.
영사기구경,품사 없음,움직임을 순간적으로 분석ㆍ기록한 영화 필름의 화상을 연속적으로 영사막에 비추고l 눈의 잔상 현상을 이용하여 움직임이 연속적으로 이루어지는 것처럼 느끼게 하며l 동시에 기록된 음향을 재생하는 기계 장치.
영사기능사,품사 없음,영화를 상영하는 영사기 및 관련 장비를 조작하고 관리하는 일에 종사하는 사람. 또는 그런 자격.
영사기사,품사 없음,문화 체육 관광부 장관의 면허를 받고 35mm 이상의 영사기를 조작하는 업무를 행하는 사람.
영사기술원,명사,‘영사 기사’의 북한어.
영사기창,명사,‘영사창’의 북한어.
영사동조,품사 없음,영화에서l 화면의 소리와 영상을 일치시키는 작업. 영상 램프가 위에 있고 음향 램프가 아래에 있는 영사기의 구조 때문에 음대가 영상의 앞쪽에 있어야 한다.
영사되다,동사,광선이 반사되다.
영사량,명사,방사선 따위를 쬔 양.
영사렌즈,품사 없음,필름을 영사막에 비추기 위한 영사기의 렌즈.
영사막,명사,영화나 환등 따위의 상을 비추어 볼 수 있는l 빛의 반사율이 높은 흰색의 막.
영사맵핑,품사 없음,영사기를 이용하여 입체의 표면에 다양한 패턴l 사진l 이미지 따위를 투사함으로써 매핑하는 방법. ⇒규범 표기는 ‘영사 매핑’이다.
영사복시사,명사,고려 시대에 둔 사복시의 으뜸 벼슬. 충렬왕 34년(1308)에 둔 것으로 종이품의 벼슬아치가 겸하였다.
영사본,명사,원본을 얇은 종이 밑에 비치도록 놓고 그 위에 덧그려 원본과 같이 만든 책이나 도안.
영사사증료,품사 없음,수출국에 있는 영사관에 영사 송장을 신청할 때 내는 요금.
영사속도,품사 없음,필름이 영사기를 통과하는 비율. 사운드 필름은 1초에 24프레임의 통과를 기본으로 한다.
영사송장,품사 없음,수출국에 머무르고 있는 수입국의 영사가 수출 상품에 관하여 사실과 다름 없음을 증명한 문서.
영사시,명사,역사적 사실이나 인물을 제재로 한 시. 객관적으로 서술하기도 하고 주관적인 회고(懷古)로 그리기도 한다. 이승휴의 ≪제왕운기≫ 따위가 있다.
영사시간,품사 없음,영화 따위에서l 한 작품의 첫 프레임이 상영될 때부터 마지막 프레임이 상영될 때까지의 시간.
영사시창,명사,영사실 벽에 만들어 놓은 창구멍. 영사기를 돌릴 때 영사 기사가 영사막을 내다보기 위하여 만들어 놓는다.
영사실,명사,영화나 환등 따위의 필름에 있는 상을 영사막에 비추어 나타내는 장치를 갖춘 방.
영사언정,부사,차라리 죽을지언정.
영사업무,품사 없음,외국에서 자국의 무역 통상의 이익을 도모하고l 해당 국가에 있는 자국민을 보호하는 것과 관련된 모든 임무. 외국에 상주하면서 외교 통상부 장관과 특명 전권 대사ㆍ공사의 지시를 받는 영사가 수행한다.
영사염화,명사,조선 시대에l 무효가 된 판매 증서로 속여서 소금을 팔던 일. 이 경우 사염법을 어긴 것과 동일하게 처벌하였다.
영사용전구,품사 없음,높은 조도(照度)를 얻기 위하여 거울 또는 렌즈에 의해 빛을 한정한 입체각 내에 집중시킨l 조명 기구에 사용되는 전등.
영사원,명사,문화 체육 관광부 장관의 면허를 받고 35mm 이상의 영사기를 조작하는 업무를 행하는 사람.
영사재판,품사 없음,예전에l 영사가 주재국에서 자국민에 관한 민사ㆍ형사 재판을 하던 제도.
영사재판권,품사 없음,영사가 주재국에서 자국민의 재판을 본국법에 따라 행하는 권리. 속인법주의에 의한 것이다.
영사전구,품사 없음,영사기의 광원으로 쓰는 전구.
영사조다,명사,조선 시대에l 무효가 된 매수 증서로 속여서 차를 사는 일. 이 경우 사염법을 어긴 것과 동일하게 처벌하였다.
영사조약,품사 없음,영사의 주재국에서 영사의 지위와 활동의 보장을 명확히 하는 조약. 영사관의 설치l 영사의 임명l 영사의 특권l 직무 범위 따위를 규정한다.
영사증명수수료,품사 없음,물건의 통행권을 증명하기 위하여 영사에게 지불하는 수수료.
영사차,명사,영화를 상영할 수 있는 장치를 갖춘 차.
영사창,명사,영사기에서 영화 화면을 조절하며 규정하여 주는 창틀.
영사콜센터,품사 없음,해외 사건ㆍ사고l 여권l 비자l 해외 이주 따위의 민원을 처리하기 위하여 외교 통상부가 운영하는 전화 상담실.
영사특권,품사 없음,영사가 어떤 임무를 수행할 때l 조약에 따라 일정한 범위에서 인정되는 특별한 권리.
영사하다,형용사,아첨을 잘하고 간사하다.
영사합성촬영,품사 없음,이미 찍은 화면을 특수한 배경 막에 영사하면서 그 앞에서 배우가 연기하도록 하여 함께 촬영하는 방법.
영사협력원제도,품사 없음,외교 통상부가 상주하는 공관이 없거나 관할 공관에서 거리가 먼 지역에서l 각국 교민들과 관련된 사건ㆍ사고의 초동 대응을 위하여 현지 교민을 영사 협력원으로 위촉하는 제도. 영사 협력원은 관할 공관장의 지도와 감독을 받으면서 우리 국민과 관련된 사건ㆍ사고가 발생하였을 때 초동 대응을 하고l 영사 콜센터에서 요청하는 민원을 처리하거나 공관장이 부여하는 업무 따위를 수행한다.
영산,명사,집안이 몰락하여 식구들이 뿔뿔이 흩어짐.
영산가,명사,잡가의 하나. 인생은 덧없는 것이니 생전에 즐기자는 내용이다.
영산강,명사,전라남도 서남부에 있는 강. 담양에서 시작하여 광주l 나주l 함평l 무안 등지를 지나 황해로 흘러 들어간다. 길이는 136.66km. 1981년 12월에 하굿둑이 쌓아 만듦으로써 감조 구역이 크게 줄어들었다.
영산강하구언,품사 없음,전라남도 서남단 영산강 하구에 건설된 방조제. 무안군 삼향면 옥암리와 영암군 삼호면 산호리 사이를 가로막은 토석제(土石堤)이다. 길이는 4l350미터.
영산굿,명사,농악 십이채 가운데 현악 영산회상곡의 한 가락.
영산놀이,명사,풍물놀이의 연주 종목 가운데 가장 절정을 이루는 부분. 연주자가 독특한 기예를 발휘한다.
영산다드래기,명사,경상남도 삼천포 풍물놀이에서l 갖가지 상모놀이 재주를 보이는 판굿. 또는 그때 치는 쇠가락의 하나.
영산대,명사,경상남도 양산시에 있는 사립 종합 대학교. 1983년에 설립된 ‘성심 외국어 대학’이 그 전신으로l 1996년 ‘영산 국제 산업 대학교’의 설립 인가를 받았고 1998년에 현재의 이름으로 바뀌었다. 양산 외에도 부산광역시 해운대구에 캠퍼스가 있다.
영산대학교,품사 없음,경상남도 양산시에 있는 사립 종합 대학교. 1983년에 설립된 ‘성심 외국어 대학’이 그 전신으로l 1996년 ‘영산 국제 산업 대학교’의 설립 인가를 받았고 1998년에 현재의 이름으로 바뀌었다. 양산 외에도 부산광역시 해운대구에 캠퍼스가 있다.
영산도,명사,전라남도 신안군 흑산면에 속하는 섬. 김 양식장이 있다. 면적은 2.28㎢.
영산동,명사,전라남도 나주시에 있는 동. 북쪽에 영산강이 흐르며l 영산강 변에 생태 습지가 조성되어 있다. 특산물로 홍어가 유명하다.
영산리,명사,충청북도 음성군 감곡면에 있는 이. 감곡면의 중남부에 위치해 있으며l 영산 1리와 영산 2리로 나누어져 있다. 영촌 저수지가 자리하고 있으며l 주로 복숭아l 참외 등의 농산물을 생산한다. 문화재로 ‘음성 공산정(公山亭) 고택’l ‘음성 잿말 고택’이 있다.
영산마지,명사,‘담배’를 달리 이르는 말.
영산만년교,품사 없음,경상남도 창녕군 영산면 남천에 놓여 있는 반달 모양의 돌다리. 조선 정조 4년(1780)에 축조되고 고종 29년(1892)년에 다시 고쳤으며 흔히 ‘원다리’라 이른다. 보물 정식 명칭은 ‘창녕 영산 만년교’이다.
영산면,명사,경상남도 창녕군에 있는 면. 동쪽은 영축산ㆍ종암산 등이 있는 산지이고l 서쪽은 평야 지대로 이루어져 있다. 산지에서 발원하여 낙동강으로 흘러 들어가는 하천 주변에 농업이 발달하였다. 사적으로는 창녕 영산 만년교l 창녕 영산 석빙고 등이 있다.
영산배,명사,우리나라에서 육성한 동양배 품종의 하나. 중생종으로l 9월 하순에 수확한다. 과실은 원형이고l 무게는 540그램 전후로 대과이다. 과육이 연하고l 과즙은 많지 않다.
영산백,명사,진달랫과의 상록 관목. 영산홍과 비슷하나 꽃이 흰색인 원예종이다.
영산살,명사,무속에서l 영산의 신을 화나게 하여 받는 액운.
영산상,명사,무당이 굿을 할 때 쓰는 제상(祭床)의 하나.
영산석빙고,품사 없음,경상남도 창녕군 영산면 교리에 있는 석실(石室)로 된 빙고. 보물 정식 명칭은 ‘창녕 영산 석빙고’이다.
영산선학대학교,품사 없음,전라남도 영광군 백수읍에 있는 사립 대학교. 1927년에 설립된 ‘영산 학원’이 그 전신으로l 1964년에 ‘영산 선원’을 정식으로 개원하였고l 1986년에 ‘원불교 영산 대학’으로 이름을 바꾸었다. 1992년에 ‘영산 원불교 학교’로l 1997년에 4년제 정규 대학인 ‘영산 원불교 대학교’로 개편되었으며 2005년에 현재의 이름이 되었다.
영산쇠머리대기,품사 없음,경상남도 영산에 전승되는 민속놀이의 하나. 나무로 소의 모양을 만들어 편을 갈라 서로 겨루어 상대편을 먼저 땅에 주저앉히는 편이 이긴다. 우리나라 국가 무형 문화재이다.
영산야 지산야 하다,품사 없음,몹시 신바람이 나는 경우를 이르는 말.
영산자,명사,자색의 꽃이 피는 영산백의 한 품종.
영산작법,명사,죽은 사람의 넋이 정토나 천상에 가도록 기원하는 불교 의식. 영취산(靈鷲山)에서 석가모니가 법화경을 설법하던 것을 재현한다는 의미를 가지고 있다.
영산재,명사,죽은 사람을 위한 재. 보통 사흘이 걸린다. 2009년에 유네스코 세계 무형 유산으로 지정되었다. 우리나라 국가 무형 문화재이다.
영산전,명사,석가여래가 설법하는 영산회의 불보살을 노래한다는 뜻으로 지은 불전(佛殿).
영산창,명사,조선 전기에l 전라남도 나주시 영산동에 설치된 조창. 주변 17개 읍의 세곡을 운반하였는데l 항로가 험하여 침몰 사고가 자주 일어나자 중종 7년(1512)에 이곳을 폐지하고 법성창에 조운을 맡겼다.
영산포등대,품사 없음,전라남도 나주시에 있는 등대. 내륙 하천가에 있는l 우리나라 유일의 등대로 1915년에 건립되었으며l 1989년까지 수위 관측 시설로 사용되었다. 우리나라 국가 등록 문화재로l 국가 등록 문화재 정식 명칭은 ‘나주 영산포 자기 수위표’이다.
영산포우체국,품사 없음,전라남도 나주시에 있는 우체국. 전라남도 지방 우정청 산하의 나주 우체국 소속이다.
영산하다,동사,집안이 몰락하여 식구들이 뿔뿔이 흩어지다.
영산향교,품사 없음,경상남도 창녕군 영산면에 있는 향교. 처음 세워진 시기는 알 수 없으나 조선 중종 때 다시 지어졌다. 이후 임진왜란 때 소실되었다가 선조 37년(1604)에 재건되었다. 경상남도 유형 문화재이다.
영산호,명사,전라남도 영산강 하구에 제방을 쌓아서 그 오른쪽에 만든 인공 호수.
영산호국공원,품사 없음,경상남도 창녕군 영산면에 있는 호국 공원. 공원 입구에는 보물로 지정되어 있는 창녕 영산 만년교가 있으며l 공원 내에는 임진왜란 호국 충혼탑ㆍ삼일 운동 봉화대와 기념비ㆍ육이오 전쟁 영산 지구 전적비가 세워져 있다.
영산홍,명사,진달랫과의 상록 관목. 높이는 1미터 정도이며 잎은 가지 끝에 뭉쳐나고 피침 모양으로 끝이 둔하다. 5~7월에 붉은빛을 띤 자주색 꽃이 가지 끝에 핀다. 일본이 원산지이며 관상용으로 재배한다.
영산환입,명사,현악 영산회상곡 가운데 삼현 도드리를 이르는 말.
영산회,명사,석가모니가 영취산(靈鷲山)에서 제자들과 함께 하였던 모임. 주로 법화경을 설하였다.
영산회상,명사,영취산(靈鷲山)에서 석가모니가 법화경을 설법하던 자리.
영산회상갑탄,명사,지금의 중영산에 해당하는 곡. ‘갑탄’은 높다는 뜻이다.
