어휘,품사,뜻풀이
부당가정,품사 없음,결론에 의하여 결정될 것을 미리 가정하는 허위. 논증되어야 할 결론이 전제 속에 가정되어 있는 경우로l 자명한 진리이어야 할 공리가 실제로는 자명하지 않은데도 부당하게 가정된 채로 논증이 진행되는 데서 생긴다. 예를 들면 ‘영혼은 멸하지 않는다. 그것은 분해되지 않는 까닭에.’나 ‘이 청년은 불교 신도이다. 왜냐하면 그 집안이 불교를 믿는 집안이기 때문이다.’ 따위가 있다.
부당가정의오류,품사 없음,결론에 의하여 결정될 것을 미리 가정하는 허위. 논증되어야 할 결론이 전제 속에 가정되어 있는 경우로l 자명한 진리이어야 할 공리가 실제로는 자명하지 않은데도 부당하게 가정된 채로 논증이 진행되는 데서 생긴다. 예를 들면 ‘영혼은 멸하지 않는다. 그것은 분해되지 않는 까닭에.’나 ‘이 청년은 불교 신도이다. 왜냐하면 그 집안이 불교를 믿는 집안이기 때문이다.’ 따위가 있다.
부당가정의허위,품사 없음,결론에 의하여 결정될 것을 미리 가정하는 허위. 논증되어야 할 결론이 전제 속에 가정되어 있는 경우로l 자명한 진리이어야 할 공리가 실제로는 자명하지 않은데도 부당하게 가정된 채로 논증이 진행되는 데서 생긴다. 예를 들면 ‘영혼은 멸하지 않는다. 그것은 분해되지 않는 까닭에.’나 ‘이 청년은 불교 신도이다. 왜냐하면 그 집안이 불교를 믿는 집안이기 때문이다.’ 따위가 있다.
부당감면,품사 없음,거짓된 방법이나 기타 방법으로 신고하여 관세 따위를 부당하게 면제받는 일.
부당거래,품사 없음,기업과 기업 또는 정치인과 기업 사이에서 부당한 목적으로 이루어지는 거래.
부당결부금지의원칙,품사 없음,행정 기관이 행정 활동을 할 때l 그것과 실질적인 관련이 없는 반대급부와 결부해서는 안 된다는 행정법상의 원칙.
부당결의취소변경의소,품사 없음,주주 총회의 결의에 관하여 특별한 이해관계가 있어 의결권을 행사할 수 없었던 주주가 그 결의의 부당함을 이유로 결의의 취소나 변경을 요구하는 행위. 제소 기간은 결의한 날부터 두 달 안이다.
부당고객유인,품사 없음,부당한 방법으로 고객을 꾀어내는 일. 거짓 광고로 새 회원을 모집하거나l 신문사가 신문 고시를 위반해 경품을 제공하는 행위 따위가 있다.
부당고객유인행위,품사 없음,부당한 방법으로 고객을 꾀어내는 행위.
부당공동행위,품사 없음,공정 거래법상으로 금지된 행위의 하나로l 기업 간의 공정한 경쟁을 제한하는 여러 가지 계약ㆍ협정ㆍ결의 따위를 말한다.
부당 과금,품사 없음,서비스를 제공한 측에서 서비스를 사용한 사람에게 이치에 맞지 아니한 방법으로 사용료를 거두어들이는 일.
부당과소신고가산세,품사 없음,가산세의 하나. 근로 소득자가 한 해 동안 납부한 소득세의 연말 정산을 하면서 허위 기부금 영수증을 제출하여 부당하게 소득세를 신고하는 경우에 근로 소득자에게 부과하는 신고 불성실에 대한 가산세이다.
부당광고,품사 없음,사업자와 상품 또는 거래 조건에 관한 허위 사실이나l 소비자를 기만하거나 오인 소지가 있는 내용을 포함한 표시나 광고.
부당권유행위금지,품사 없음,증권 거래법에 따라 증권 회사의 임직원들이 유가 증권 매매와 관련하여 옳지 못한 권유를 하는 것을 금지하는 일. 금지되는 행위에는 특정한 유가 증권의 가격 상승 혹은 하락에 대한 단정적인 판단을 제공함으로써 매매를 권유하는 행위l 유가 증권 매매와 관련하여 고객에게 수수료 할인l 간접적인 재산상의 이익을 제공하는 행위l 기타 정보 제공l 중개l 주신 또는 대리 행위l 고객의 위법 거래 은폐 등으로 영업 활동을 하는 것 등이 있다.
부당긍정의오류,품사 없음,정언적 삼단 논법에 관한 형식적 허위의 하나. 전제 가운데 하나가 부정 판단인데도 불구하고 결론을 긍정 판단으로 하는 허위이다.
부당긍정의허위,품사 없음,정언적 삼단 논법에 관한 형식적 허위의 하나. 전제 가운데 하나가 부정 판단인데도 불구하고 결론을 긍정 판단으로 하는 허위이다.
부당내부거래,품사 없음,같은 그룹에 속하는 계열사끼리 현저히 유리한 조건으로 상품 및 서비스를 사고팔거나 인력 또는 자금을 지원하는 불공정 거래 행위.
부당노동행위,품사 없음,자본가 측이 노동자의 단결권l 단체 교섭권l 쟁의권l 노동조합의 자주성 따위를 침해하는 행위. 단체 교섭의 거부나 노동조합의 어용화(御用化) 따위가 있으며l 여기에 대하여 노동자 측은 노동 위원회나 법원에 구제를 요구할 수 있다.
부당당,품사 없음,‘부당당하다’의 어근.
부당당하다,형용사,아주 이치에 맞지 않다.
부당 대우,품사 없음,어떠한 대상을 이치에 맞지 아니하게 대우하는 일.
부당배열,품사 없음,어떤 규칙대로 배열되지 않은 일련의 정보 나열.
부당변경,품사 없음,시스템의 구성과 기능을 승인 없이 변경하는 일. 시스템의 보안성이 취약해지는 위험을 유발할 수 있다.
부당보충,품사 없음,백지 어음의 수취인이 발행인으로부터 수여받은 백지 보충권의 범위를 초과하여 어음상의 권리를 행사한 행위를 이르는 말.
부당선결의허위,품사 없음,결론에 의하여 결정될 것을 미리 가정하는 허위. 논증되어야 할 결론이 전제 속에 가정되어 있는 경우로l 자명한 진리이어야 할 공리가 실제로는 자명하지 않은데도 부당하게 가정된 채로 논증이 진행되는 데서 생긴다. 예를 들면 ‘영혼은 멸하지 않는다. 그것은 분해되지 않는 까닭에.’나 ‘이 청년은 불교 신도이다. 왜냐하면 그 집안이 불교를 믿는 집안이기 때문이다.’ 따위가 있다.
부당성,명사,이치에 맞지 않는 성질.
부당 수령,품사 없음,올바르고 마땅하지 아니한 방법으로 돈이나 물품을 받아들임.
부당 수령자,품사 없음,돈이나 물품 따위를 받지 말아야 함에도 불구하고 받았거나l 받아야 할 양보다 더 많이 받은 사람.
부당염매,품사 없음,다른 경쟁 사업자를 시장에서 배제하기 위하여 상품이나 용역을 정당한 이유 없이 그 공급에 소요되는 비용보다 뚜렷하게 낮은 가격으로 지속적으로 공급하는 행위.
부당염매방지관세,품사 없음,부당하게 싸게 들여온 수입품 때문에 같은 종류의 국내 산업이 해를 입을 우려가 있을 때에 부과하는 관세.
부당영업,품사 없음,부당한 수단이나 방식으로 영리를 취하는 영업.
부당이득,품사 없음,법령을 위반하는 부당한 방법으로 남에게 손해를 주면서 얻는 이익.
부당이득금,품사 없음,법률상의 원인 없이 타인의 재산이나 노무로 부당하게 얻은 이익 금액.
부당이득론,품사 없음,어떤 행위로 우연히 이득을 얻게 되었다 하더라도 그로 인해 다른 사람의 재산에 손실을 초래한다면 부당 이득으로 간주되어 환수할 수 있다는 민법 원리에 따라 불로 소득론l 고전적 지대론과 함께 개발 이익 환수의 이론적 근거가 되는 주장.
부당이득반환,품사 없음,손실을 본 자가 부당 이득자에게서 그 이익을 돌려받는 일.
부당이득반환청구권,품사 없음,손실을 본 사람이 부당 이득을 받은 사람에게 그 이득에 대해 반환을 요구하는 권리. 반환의 범위는 부당 이득을 취한 사람이 법률상의 원인이 없음을 몰랐느냐 알고 있었느냐에 따라서 달라진다.
부당이득세,품사 없음,국세의 하나. 거래 행위에서 부당하게 많은 이득을 얻은 사람에게 매기는데l 정부가 지정하는 최고액을 기준으로 단계ㆍ지역 따위에 따라 국세청장이 따로 정하는 기준 가격을 초과하여 거래한 사람에게 부과된다.
부당이득죄,품사 없음,남이 곤궁한 상태를 이용하여 자기 또는 다른 사람이 옳지 못한 이익을 얻음으로써 성립하는 죄.
부당이유의허위,품사 없음,아리스토텔레스의 비언어적(非言語的) 허위의 하나. 다소 관계는 있지만 이유가 되지 않는 사실에 의거한 논증을 하려 할 때에 발생한다.
부당 이익,품사 없음,올바르고 마땅하지 아니한 방법으로 얻은 이익.
부당이행,품사 없음,청구 발주자나 수입자가 수주자 또는 수출자의 귀책 사유l 즉 계약 위반 사항 따위가 전혀 없어도 보증서 발행 기관인 은행에 보증 채무 이행을 부당하게 청구하는 일.
부당인출,품사 없음,부당한 방법으로 예금을 찾는 일.
부당전제,품사 없음,이치에 맞지 아니하는 어떠한 사물이나 현상을 이루기 위하여 먼저 내세우는 것.
